2015/1/1,星期四,5 ,-4,晴   西北风~西风  微风
2015/1/2,星期五,9 ,-2,晴~多云    西南风~东风  微风
2015/1/3,星期六,13,2 ,多云  南风~东风   微风
2015/1/4,星期日,16,1 ,晴   东南风 3-4级
2015/1/5,星期一,14,5 ,阴~小雨    东南风~北风  3-4级~4-5级
2015/1/6,星期二,7 ,-1,小雨~雨夹雪  北风  3-4级
2015/1/7,星期三,7 ,-3,多云~晴    北风~西北风  微风
2015/1/8,星期四,8 ,-2,晴~多云    西北风 微风
2015/1/9,星期五,12,0 ,多云  西南风 微风
2015/1/10,星期六,14,1 ,多云~晴    西南风~西风  微风
2015/1/11,星期日,14,0 ,晴   东北风 微风
2015/1/12,星期一,8 ,1 ,多云~阴    东风  微风
2015/1/13,星期二,7 ,4 ,小雨  东风~东北风  微风
2015/1/14,星期三,8 ,4 ,阴~多云    北风~西北风  3-4级~微风
2015/1/15,星期四,9 ,3 ,多云  北风  微风
2015/1/16,星期五,9 ,-1,多云~晴    北风  微风
2015/1/17,星期六,6 ,-2,晴~多云    东北风~东风  微风
2015/1/18,星期日,8 ,0 ,多云  东南风~西南风 微风
2015/1/19,星期一,11,0 ,晴~多云    西风~东南风  微风
2015/1/20,星期二,11,3 ,阴   东南风~南风  微风
2015/1/21,星期三,12,0 ,多云  北风  3-4级~微风
2015/1/22,星期四,6 ,-2,多云~晴    西北风 3-4级~微风
2015/1/23,星期五,11,-1,多云  东南风~东风  微风
2015/1/24,星期六,15,3 ,多云~阴    东风  3-4级
2015/1/25,星期日,11,6 ,小雨  西风~东北风  微风
2015/1/26,星期一,9 ,3 ,阴   北风  3-4级~4-5级
2015/1/27,星期二,6 ,0 ,雨夹雪 东北风 4-5级~3-4级
2015/1/28,星期三,3 ,-1,小雪~大雪   东风~东北风  3-4级
2015/1/29,星期四,2 ,-1,中雪~小雪   东北风 微风
2015/1/30,星期五,3 ,-2,阴~多云    北风~东北风  微风
2015/1/31,星期六,5 ,-1,多云~阴    东北风 微风
2015/2/1,星期日,4 ,0 ,阴   东北风~东风  微风
2015/2/2,星期一,7 ,2 ,阴   东北风 微风
2015/2/3,星期二,6 ,2 ,小雨~多云   北风  微风
2015/2/4,星期三,6 ,-1,多云~晴    西北风 3-4级
2015/2/5,星期四,8 ,-2,晴   北风~无持续风向    微风
2015/2/6,星期五,9 ,-2,多云~晴    西南风~西风  3-4级
2015/2/7,星期六,12,0 ,多云  西南风~北风  微风~4-5级
2015/2/8,星期日,6 ,-4,晴   东北风~东风  3-4级~微风
2015/2/9,星期一,6 ,-4,晴   东南风 微风
2015/2/10,星期二,11,0 ,晴   南风  3级
2015/2/11,星期三,15,2 ,晴~多云    西南风~西北风 微风
2015/2/12,星期四,12,1 ,多云  西风~东风   微风
2015/2/13,星期五,14,2 ,晴   东风~东南风  微风
2015/2/14,星期六,19,5 ,多云~阵雨   东南风 微风
2015/2/15,星期日,14,9 ,小雨~阴    东南风~西北风 微风
2015/2/16,星期一,15,3 ,多云~晴    西北风~东北风 3-4级
2015/2/17,星期二,14,3 ,晴   东北风 微风
2015/2/18,星期三,12,0 ,晴   东北风 3-4级
2015/2/19,星期四,11,2 ,多云~阴    东南风 3-4级
2015/2/20,星期五,10,6 ,小雨~小到中雨 东南风~西北风 3-4级~微风
2015/2/21,星期六,10,4 ,阴~多云    北风  3-4级
2015/2/22,星期日,9 ,4 ,多云~小雨   西风~东风   3-4级
2015/2/23,星期一,9 ,2 ,阴   东风~东南风  微风
2015/2/24,星期二,12,6 ,多云~小雨   东南风 微风
2015/2/25,星期三,11,6 ,小雨~阴    东风~北风   微风
2015/2/26,星期四,10,4 ,阴~小雨    东北风 微风~3-4级
2015/2/27,星期五,6 ,2 ,小到中雨~中雨 东风  4-5级
2015/2/28,星期六,4 ,1 ,中雨~阴    东北风 4-5级~3-4级
2015/3/1,星期日,10,2 ,多云~晴    西风  3-4级
2015/3/2,星期一,13,4 ,多云~小雨   南风  3-4级
2015/3/3,星期二,12,1 ,多云  西北风~东北风 4-5级~3-4级
2015/3/4,星期三,6 ,1 ,多云~阴    东北风~东风  3-4级~微风
2015/3/5,星期四,6 ,2 ,雨夹雪 东风  微风
2015/3/6,星期五,8 ,2 ,多云  东风  微风
2015/3/7,星期六,11,5 ,多云~阴    东南风 微风
2015/3/8,星期日,10,5 ,小雨~阴    东风~北风   微风~4-5级
2015/3/9,星期一,10,-1,多云  北风  4-5级~3-4级
2015/3/10,星期二,7 ,-1,多云  东风~东南风  微风
2015/3/11,星期三,12,2 ,多云  南风  微风
2015/3/12,星期四,16,5 ,晴   南风~西南风  微风
2015/3/13,星期五,20,7 ,多云  西风~东风   微风
2015/3/14,星期六,12,8 ,小雨  东北风~东风  3-4级
2015/3/15,星期日,14,9 ,阴~多云    东风  3-4级
2015/3/16,星期一,15,9 ,多云~阴    东南风 微风
2015/3/17,星期二,16,12,中雨~大雨   东南风~东风  微风
2015/3/18,星期三,13,8 ,小雨  北风  微风
